
2025/02/19 (23:13:38) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/19 (23:13:38) | DEBUG: Shared::init() : Initialized.
2025/02/19 (23:13:38) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme
2025/02/19 (23:13:41) | INFO: Quitting! Runtime: 00:00:03

2025/02/19 (23:19:29) | ===> btop++ v.1.4.0
2025/02/19 (23:19:29) | INFO: Logger set to DEBUG
2025/02/19 (23:19:29) | DEBUG: Using locale en_US.UTF-8
2025/02/19 (23:19:29) | INFO: Running on /dev/pts/0
2025/02/19 (23:19:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/19 (23:19:29) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/19 (23:19:29) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/19 (23:19:29) | DEBUG: Shared::init() : Initialized.
2025/02/19 (23:19:29) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme

2025/02/20 (00:52:33) | ===> btop++ v.1.4.0
2025/02/20 (00:52:33) | INFO: Logger set to DEBUG
2025/02/20 (00:52:33) | DEBUG: Using locale en_US.UTF-8
2025/02/20 (00:52:33) | INFO: Running on /dev/pts/0
2025/02/20 (00:52:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/20 (00:52:35) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/20 (00:52:35) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/20 (00:52:35) | DEBUG: Shared::init() : Initialized.
2025/02/20 (00:52:35) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme

2025/02/20 (00:52:49) | ===> btop++ v.1.4.0
2025/02/20 (00:52:49) | INFO: Logger set to DEBUG
2025/02/20 (00:52:49) | DEBUG: Using locale en_US.UTF-8
2025/02/20 (00:52:49) | INFO: Running on /dev/pts/0
2025/02/20 (00:52:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/20 (00:52:49) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/20 (00:52:49) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/20 (00:52:49) | DEBUG: Shared::init() : Initialized.
2025/02/20 (00:52:49) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme

2025/02/20 (00:52:53) | ===> btop++ v.1.4.0
2025/02/20 (00:52:53) | INFO: Logger set to DEBUG
2025/02/20 (00:52:53) | DEBUG: Using locale en_US.UTF-8
2025/02/20 (00:52:53) | INFO: Running on /dev/pts/0
2025/02/20 (00:52:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/20 (00:52:53) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/20 (00:52:53) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/20 (00:52:53) | DEBUG: Shared::init() : Initialized.
2025/02/20 (00:52:53) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme

2025/02/20 (00:54:01) | ===> btop++ v.1.4.0
2025/02/20 (00:54:01) | INFO: Logger set to DEBUG
2025/02/20 (00:54:01) | DEBUG: Using locale en_US.UTF-8
2025/02/20 (00:54:01) | INFO: Running on /dev/pts/0
2025/02/20 (00:54:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/20 (00:54:03) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/20 (00:54:03) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/20 (00:54:03) | DEBUG: Shared::init() : Initialized.
2025/02/20 (00:54:03) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme

2025/02/21 (23:48:49) | ===> btop++ v.1.4.0
2025/02/21 (23:48:49) | INFO: Logger set to DEBUG
2025/02/21 (23:48:49) | DEBUG: Using locale en_US.UTF-8
2025/02/21 (23:48:49) | INFO: Running on /dev/pts/0
2025/02/21 (23:48:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/21 (23:48:49) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/21 (23:48:49) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/21 (23:48:49) | DEBUG: Shared::init() : Initialized.
2025/02/21 (23:48:49) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme

2025/02/22 (00:32:21) | ===> btop++ v.1.4.0
2025/02/22 (00:32:21) | INFO: Logger set to DEBUG
2025/02/22 (00:32:21) | DEBUG: Using locale en_US.UTF-8
2025/02/22 (00:32:21) | INFO: Running on /dev/pts/0
2025/02/22 (00:32:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/22 (00:32:21) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/22 (00:32:21) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/22 (00:32:21) | DEBUG: Shared::init() : Initialized.
2025/02/22 (00:32:21) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme

2025/02/22 (00:49:32) | ===> btop++ v.1.4.0
2025/02/22 (00:49:32) | INFO: Logger set to DEBUG
2025/02/22 (00:49:32) | DEBUG: Using locale en_US.UTF-8
2025/02/22 (00:49:32) | INFO: Running on /dev/pts/0
2025/02/22 (00:49:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/22 (00:49:32) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/22 (00:49:32) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/22 (00:49:32) | DEBUG: Shared::init() : Initialized.
2025/02/22 (00:49:32) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme

2025/02/22 (00:55:24) | ===> btop++ v.1.4.0
2025/02/22 (00:55:24) | INFO: Logger set to DEBUG
2025/02/22 (00:55:24) | DEBUG: Using locale en_US.UTF-8
2025/02/22 (00:55:24) | INFO: Running on /dev/pts/0
